Name,Out Datetime,In Datetime,Voltage (kV),Duration (minutes),Outage Type,Cause,year,outage_year,threshold
Napavine-Chehalis Power No 2 500kV line,2012-01-05 16:21:00,2012-01-05 20:49:00,500.0,268,Auto,Other,2012,{2012},49487.0
Napavine-Chehalis Power No 3 500kV line,2012-01-05 16:21:00,2012-01-05 20:49:00,500.0,268,Auto,Other,2012,{2012},49487.0
Napavine-Chehalis Power No 1 500kV line,2012-01-05 16:21:00,2012-01-08 19:33:00,500.0,4512,Auto,Other,2012,{2012},49487.0
Big Eddy-Celilo No 1 500kV line,2012-01-06 17:39:00,2012-01-06 19:16:00,500.0,97,Auto,Other,2012,{2012},49487.0
Big Eddy-Celilo No 3 230kV line,2012-01-06 17:39:00,2012-01-13 16:21:00,230.0,10002,Auto,Other,2012,{2012},49487.0
Celilo-Sylmar Pole No 3 1000kV line,2012-01-06 17:39:00,2012-01-06 18:58:00,1000.0,79,Auto,Other,2012,{2012},49487.0
Converter 1 tap to Celilo-Sylmar Pole No 3 1000kV line,2012-01-06 17:39:00,2012-01-06 18:58:00,1000.0,79,Auto,Other,2012,{2012},49487.0
Converter 3 tap to Celilo-Sylmar Pole No 3 1000kV line,2012-01-06 17:39:00,2012-01-06 18:58:00,1000.0,79,Auto,Other,2012,{2012},49487.0
Valve Group 1 tap to Celilo-Sylmar Pole No 3 1000kV line,2012-01-06 17:39:00,2012-01-06 18:58:00,1000.0,79,Auto,Other,2012,{2012},49487.0
Valve Group 3 tap to Celilo-Sylmar Pole No 3 1000kV line,2012-01-06 17:39:00,2012-01-06 18:58:00,1000.0,79,Auto,Other,2012,{2012},49487.0
Valve Group 5 tap to Celilo-Sylmar Pole No 3 1000kV line,2012-01-06 17:39:00,2012-01-06 18:58:00,1000.0,79,Auto,Other,2012,{2012},49487.0
Valve Group 7 tap to Celilo-Sylmar Pole No 3 1000kV line,2012-01-06 17:39:00,2012-01-06 18:58:00,1000.0,79,Auto,Other,2012,{2012},49487.0
McNary-Coyote Springs No 1 500kV line,2012-01-07 07:13:00,2012-01-07 07:14:00,500.0,1,Auto,Unknown,2012,{2012},49487.0
Chief Joseph PH-Chief Joseph No 6 500kV line,2012-01-11 12:59:00,2012-01-11 13:13:00,500.0,14,Auto,Other,2012,{2012},49487.0
Bellingham-PSE Bellingham No 2 115kV line,2012-01-17 03:38:00,2012-01-17 11:38:00,115.0,480,Auto,Other,2012,{2012},49487.0
Ross-Lexington No 1 230kV line,2012-01-17 23:14:00,2012-01-17 23:17:00,230.0,3,Auto,Unknown,2012,{2012},49487.0
Woodland-Lexington section of Ross-Lexington No 1 230kV line,2012-01-17 23:14:00,2012-01-17 23:17:00,230.0,3,Auto,Unknown,2012,{2012},49487.0
Carlton-Tillamook No 1 230kV line,2012-01-18 01:05:00,2012-01-18 01:06:00,230.0,1,Auto,Wind,2012,{2012},49487.0
Ross-Lexington No 1 230kV line,2012-01-18 04:12:00,2012-01-18 07:08:00,230.0,176,Auto,Other,2012,{2012},49487.0
Ross-Woodland section of Ross-Lexington No 1 230kV line,2012-01-18 04:12:00,2012-01-18 07:08:00,230.0,176,Auto,Other,2012,{2012},49487.0
Swift tap to Ross-Lexington No 1 230kV line,2012-01-18 04:12:00,2012-01-18 12:00:00,230.0,468,Auto,Other,2012,{2012},49487.0
Woodland-Lexington section of Ross-Lexington No 1 230kV line,2012-01-18 04:12:00,2012-01-18 07:08:00,230.0,176,Auto,Other,2012,{2012},49487.0
Carlton-Tillamook No 1 230kV line,2012-01-18 06:10:00,2012-01-20 13:36:00,230.0,3326,Auto,Wind,2012,{2012},49487.0
Forest Grove-Thatcher Junction section of Forest Grove-Tillamook No 1 115kV line,2012-01-18 07:42:00,2012-01-18 07:43:00,115.0,1,Auto,Wind,2012,{2012},49487.0
Forest Grove-Tillamook No 1 115kV line,2012-01-18 07:42:00,2012-01-18 10:10:00,115.0,148,Auto,Wind,2012,{2012},49487.0
South Fork tap to Forest Grove-Tillamook No 1 115kV line,2012-01-18 07:42:00,2012-01-18 07:44:00,115.0,2,Auto,Wind,2012,{2012},49487.0
South Fork-Tillamook section of Forest Grove-Tillamook No 1 115kV line,2012-01-18 07:42:00,2012-01-18 07:44:00,115.0,2,Auto,Wind,2012,{2012},49487.0
Thatcher Junction tap to Forest Grove-Tillamook No 1 115kV line,2012-01-18 07:42:00,2012-01-18 07:43:00,115.0,1,Auto,Wind,2012,{2012},49487.0
Thatcher Junction-Timber section of Forest Grove-Tillamook No 1 115kV line,2012-01-18 07:42:00,2012-01-18 10:10:00,115.0,148,Auto,Wind,2012,{2012},49487.0
Timber tap to Forest Grove-Tillamook No 1 115kV line,2012-01-18 07:42:00,2012-01-18 16:19:00,115.0,517,Auto,Wind,2012,{2012},49487.0
Timber-South Fork section of Forest Grove-Tillamook No 1 115kV line,2012-01-18 07:42:00,2012-01-18 10:10:00,115.0,148,Auto,Wind,2012,{2012},49487.0
John Day-Grizzly No 2 500kV line,2012-01-18 08:33:00,2012-01-18 08:37:00,500.0,4,Auto,Unknown,2012,{2012},49487.0
Slatt-John Day No 1 500kV line,2012-01-18 08:33:00,2012-01-18 08:37:00,500.0,4,Auto,Other,2012,{2012},49487.0
Holcomb-Naselle No 1 115kV line,2012-01-18 08:39:00,2012-01-19 16:53:00,115.0,1934,Auto,Weather,2012,{2012},49487.0
Holcomb-Oxbow section of Holcomb-Naselle No 1 115kV line,2012-01-18 08:39:00,2012-01-18 09:29:00,115.0,50,Auto,Weather,2012,{2012},49487.0
Oxbow-Naselle section of Holcomb-Naselle No 1 115kV line,2012-01-18 08:39:00,2012-01-19 16:53:00,115.0,1934,Auto,Weather,2012,{2012},49487.0
Beaver tap to Boyer-Tillamook No 1 115kV line,2012-01-18 09:19:00,2012-01-18 09:45:00,115.0,26,Auto,Other,2012,{2012},49487.0
Beaver-Tillamook section of Boyer-Tillamook No 1 115kV line,2012-01-18 09:19:00,2012-01-18 09:45:00,115.0,26,Auto,Other,2012,{2012},49487.0
Boyer-Nestucca section of Boyer-Tillamook No 1 115kV line,2012-01-18 09:19:00,2012-01-18 09:45:00,115.0,26,Auto,Other,2012,{2012},49487.0
Boyer-Tillamook No 1 115kV line,2012-01-18 09:19:00,2012-01-18 09:45:00,115.0,26,Auto,Other,2012,{2012},49487.0
Hebo tap to Boyer-Tillamook No 1 115kV line,2012-01-18 09:19:00,2012-01-18 09:45:00,115.0,26,Auto,Other,2012,{2012},49487.0
Hebo-Beaver section of Boyer-Tillamook No 1 115kV line,2012-01-18 09:19:00,2012-01-18 09:45:00,115.0,26,Auto,Other,2012,{2012},49487.0
Nestucca-Hebo section of Boyer-Tillamook No 1 115kV line,2012-01-18 09:19:00,2012-01-18 09:45:00,115.0,26,Auto,Other,2012,{2012},49487.0
"Canyon-LaGrande No 1,2 115kV lines",2012-01-18 18:03:00,2012-01-19 03:00:00,115.0,537,Auto,Other,2012,{2012},49487.0
"Lynch Creek tap to Canyon-LaGrande No 1,2 115kV lines",2012-01-18 18:03:00,2012-01-19 03:00:00,115.0,537,Auto,Other,2012,{2012},49487.0
"Canyon-LaGrande No 1,2 115kV lines",2012-01-19 05:54:00,2012-01-19 09:35:00,115.0,221,Auto,Other,2012,{2012},49487.0
"Lynch Creek tap to Canyon-LaGrande No 1,2 115kV lines",2012-01-19 05:54:00,2012-01-19 09:35:00,115.0,221,Auto,Other,2012,{2012},49487.0
Berrydale tap to Wendson-Tahkenitch No 1 115kV line,2012-01-19 09:01:00,2012-01-19 09:07:00,115.0,6,Auto,Other,2012,{2012},49487.0
Berrydale-Tahkenitch section of Wendson-Tahkenitch No 1 115kV line,2012-01-19 09:01:00,2012-01-19 09:07:00,115.0,6,Auto,Other,2012,{2012},49487.0
Wendson-Berrydale section of Wendson-Tahkenitch No 1 115kV line,2012-01-19 09:01:00,2012-01-19 09:07:00,115.0,6,Auto,Other,2012,{2012},49487.0
Wendson-Tahkenitch No 1 115kV line,2012-01-19 09:01:00,2012-01-19 09:07:00,115.0,6,Auto,Other,2012,{2012},49487.0
Chehalis-Pe Ell section of Chehalis-Raymond No 1 115kV line,2012-01-19 10:11:00,2012-01-19 17:31:00,115.0,440,Auto,Tree Blown,2012,{2012},49487.0
Chehalis-Raymond No 1 115kV line,2012-01-19 10:11:00,2012-01-19 17:31:00,115.0,440,Auto,Tree Blown,2012,{2012},49487.0
Holcomb tap to Chehalis-Raymond No 1 115kV line,2012-01-19 10:11:00,2012-01-19 10:24:00,115.0,13,Auto,Tree Blown,2012,{2012},49487.0
Holcomb-Raymond section of Chehalis-Raymond No 1 115kV line,2012-01-19 10:11:00,2012-01-19 10:24:00,115.0,13,Auto,Tree Blown,2012,{2012},49487.0
Pe Ell tap to Chehalis-Raymond No 1 115kV line,2012-01-19 10:11:00,2012-01-19 12:11:00,115.0,120,Auto,Tree Blown,2012,{2012},49487.0
Pe Ell-Holcomb section of Chehalis-Raymond No 1 115kV line,2012-01-19 10:11:00,2012-01-19 12:11:00,115.0,120,Auto,Tree Blown,2012,{2012},49487.0
Holcomb-Naselle No 1 115kV line,2012-01-19 10:11:00,2012-01-19 10:24:00,115.0,13,Auto,Other,2012,{2012},49487.0
Holcomb-Oxbow section of Holcomb-Naselle No 1 115kV line,2012-01-19 10:11:00,2012-01-19 10:24:00,115.0,13,Auto,Other,2012,{2012},49487.0
McNary-B-1345 section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:05:00,2012-01-19 11:07:00,115.0,2,Auto,Unknown,2012,{2012},49487.0
McNary-Badger Canyon No 1 115kV line,2012-01-19 11:05:00,2012-01-19 11:07:00,115.0,2,Auto,Unknown,2012,{2012},49487.0
B-1345-B-1605 section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
Berrian tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
Berrian-H2F section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
H2F tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
H2F-Nine Canyon section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
