Name,Out Datetime,In Datetime,Voltage High (kV),Voltage Low (kV),Duration (minutes),Outage Type,Cause,year,outage_year,threshold
Grand Coulee: 500/230kV CSY Tie Bank,2013-02-06 10:27:00,2013-02-06 11:21:00,500.0,230.0,54,Auto,Foreign Trouble,2013,{2013},49487.0
Olympia: 287/230kV Transformer 3,2013-02-06 10:27:00,2013-02-06 10:54:00,287.0,230.0,27,Auto,Foreign Trouble,2013,{2013},49487.0
Tacoma: 500/230kV Transformer 5,2013-03-25 17:15:00,2013-03-25 17:21:00,500.0,230.0,6,Auto,Other,2013,{2013},49487.0
Big Eddy: 500/230kV Transformer 2,2013-04-10 06:20:00,2013-04-11 21:14:00,500.0,230.0,2334,Auto,Unknown,2013,{2013},49487.0
Olympia: 287/230kV Transformer 3,2013-05-26 12:54:00,2013-05-26 21:52:00,287.0,230.0,538,Auto,Unknown,2013,{2013},49487.0
Maple Valley: 345/230kV Transformer 1,2013-06-16 17:47:00,2013-06-16 17:49:00,345.0,230.0,2,Auto,Lightning,2013,{2013},49487.0
Rocky Reach: 345/230kV Transformer 1,2013-06-16 17:47:00,2013-06-16 17:49:00,345.0,230.0,2,Auto,Lightning,2013,{2013},49487.0
Ponderosa: 500/230kV Transformer 2,2013-07-07 16:08:00,2013-07-07 16:12:00,500.0,230.0,4,Auto,Unknown,2013,{2013},49487.0
Hot Springs: 500/230kV Transformer 1,2013-08-16 15:27:00,2013-08-18 20:17:00,500.0,230.0,3170,Auto,Equipment Failure,2013,{2013},49487.0
Troutdale: 500/230kV Transformer 8,2013-09-03 01:18:00,2013-09-03 16:43:00,500.0,230.0,925,Auto,Unknown,2013,{2013},49487.0
Monroe: 500/230kV Transformer 1,2013-12-16 19:12:00,2013-12-16 19:14:00,500.0,230.0,2,Auto,Equipment Failure,2013,{2013},49487.0
Ponderosa: 500/230kV Transformer 1,2014-01-11 10:52:00,2014-01-11 14:33:00,500.0,230.0,221,Auto,Equipment Failure,2014,{2014},49487.0
Celilo: Converter 1 525/205kV Transformer,2014-01-15 04:50:00,2014-01-15 04:58:00,525.0,205.0,8,Auto,Unknown,2014,{2014},49487.0
Celilo: Converter 2 525/205kV Transformer,2014-01-15 04:50:00,2014-01-15 04:58:00,525.0,205.0,8,Auto,Unknown,2014,{2014},49487.0
Rock Creek: 500/230kV Transformer 1,2014-01-22 20:42:00,2014-01-23 11:39:00,500.0,230.0,897,Auto,Other,2014,{2014},49487.0
Rock Creek: 500/230kV Transformer 1,2014-01-25 04:36:00,2014-01-25 10:31:00,500.0,230.0,355,Auto,Other,2014,{2014},49487.0
Rock Creek: 500/230kV Transformer 1,2014-01-26 01:38:00,2014-01-26 05:04:00,500.0,230.0,206,Auto,Unknown,2014,{2014},49487.0
Sickler: 500/230kV Transformer 1,2014-03-09 13:11:00,2014-03-09 13:14:00,500.0,230.0,3,Auto,Other,2014,{2014},49487.0
Maple Valley: 500/230kV Transformer 2,2014-03-21 07:42:00,2014-03-21 08:13:00,500.0,230.0,31,Auto,Equipment Failure,2014,{2014},49487.0
Keeler: 500/230kV Transformer 2,2014-04-17 16:02:00,2014-04-17 17:41:00,500.0,230.0,99,Auto,Equipment Failure,2014,{2014},49487.0
McNary: 500/230kV Transformer 1,2014-05-14 13:53:00,2014-05-14 14:05:00,500.0,230.0,12,Auto,Other,2014,{2014},49487.0
Olympia: 287/230kV Transformer 3,2014-07-14 16:11:00,2014-07-14 16:15:00,287.0,230.0,4,Auto,Lightning,2014,{2014},49487.0
Grand Coulee: 287/230kV Transformer 1,2014-07-14 16:11:00,2014-07-14 16:15:00,287.0,230.0,4,Auto,Lightning,2014,{2014},49487.0
Olympia: 287/230kV Transformer 3,2014-07-14 16:23:00,2014-07-14 16:25:00,287.0,230.0,2,Auto,Lightning,2014,{2014},49487.0
Grand Coulee: 287/230kV Transformer 1,2014-07-14 16:23:00,2014-07-14 16:25:00,287.0,230.0,2,Auto,Lightning,2014,{2014},49487.0
Olympia: 287/230kV Transformer 3,2014-07-14 17:18:00,2014-07-14 20:57:00,287.0,230.0,219,Auto,Weather,2014,{2014},49487.0
Grand Coulee: 287/230kV Transformer 1,2014-07-14 17:18:00,2014-07-14 20:57:00,287.0,230.0,219,Auto,Weather,2014,{2014},49487.0
Celilo: Converter 2 525/205kV Transformer,2014-07-23 07:06:00,2014-07-23 07:29:00,525.0,205.0,23,Auto,Equipment Failure,2014,{2014},49487.0
Ponderosa: 500/230kV Transformer 1,2014-07-31 12:58:00,2014-07-31 18:00:00,500.0,230.0,302,Auto,Equipment Failure,2014,{2014},49487.0
Celilo: Converter 1 525/205kV Transformer,2014-08-01 02:17:00,2014-08-01 02:43:00,525.0,205.0,26,Auto,Equipment Failure,2014,{2014},49487.0
Celilo: Converter 1 525/205kV Transformer,2014-08-01 03:05:00,2014-08-01 09:39:00,525.0,205.0,394,Auto,Equipment Failure,2014,{2014},49487.0
