Out Datetime,In Datetime,Name,Voltage (kV),Line Type,Gen Flag,Length (miles),Duration (minutes),Outage Type,Dispatcher Cause,Field Cause,District,Outage ID,year,Cause Dispatch,Cause Field,Responsible System Dispatch,Responsible System Field,Cause,Responsible System,O&M District,Transmission Owner NERC TADS,Out Datetime (PPT),In Datetime (PPT)
01/01/1988 11:00,,Ashe-Marion No 2 500kV line,500.0,L,T,224.01,still out,Plan,Normally Out,,TRI TDA RED SAL,107973,2012,,,,,,,,,,
01/01/1988 11:00,,Slatt tap to Ashe-Marion No 2 500kV line,500.0,T, ,0.1,still out,Plan,Normally Out,,TRI,107973,2012,,,,,,,,,,
01/20/1995 10:31,,Satsop-Grays Harbor Public Development Authority No 1 230kV line,230.0,L, ,0.1,still out,Plan,Normally Out,,OLY,37162,2012,,,,,,,,,,
04/03/1995 10:00,,Bell-AVA Beacon No 2 115kV line,115.0,L, ,6.2,still out,Plan,Normally Out,,SPK,170232,2012,,,,,,,,,,
06/13/1996 10:20,,Alvey-Fairview No 1 230kV line,230.0,L,T,97.46,still out,Plan,Normally Out,,EUG,47311,2012,,,,,,,,,,
06/13/1996 10:20,,Reston tap to Alvey-Fairview No 1 230kV line,230.0,T, ,0.04,still out,Plan,Normally Out,,EUG,47311,2012,,,,,,,,,,
10/16/2003 10:07,,Tacoma-TPWR Northeast No 1 230kV line,230.0,L, ,0.1,still out,Plan,Normally Out,,COV,139283,2012,,,,,,,,,,
12/31/2003 17:45,,Raver tap to Schultz-Echo Lake No 1 500kV line,500.0,T, ,2.95,still out,Plan,Normally Out,,COV,140124,2012,,,,,,,,,,
12/31/2003 17:45,,Schultz-Echo Lake No 1 500kV line,500.0,L,T,83.36,still out,Plan,Normally Out,,WEN COV,140124,2012,,,,,,,,,,
09/15/2004 10:15,,B-389 Tie tap to Eugene-Alderwood No 1 115kV line,115.0,T, ,9.27,still out,Plan,Normally Out,,EUG,146655,2012,,,,,,,,,,
09/15/2004 10:15,,Eugene-Alderwood No 1 115kV line,115.0,L,T,18.17,still out,Plan,Normally Out,,EUG,146655,2012,,,,,,,,,,
07/19/2006 20:46,,Boardman tap to McNary-Jones Canyon No 1 230kV line,230.0,T, ,0.28,still out,Plan,Normally Out,,TRI,152606,2012,,,,,,,,,,
07/19/2006 20:46,,McNary-Jones Canyon No 1 230kV line,230.0,L,T,48.66,still out,Plan,Normally Out,,TRI TDA,152606,2012,,,,,,,,,,
06/01/2007 11:09,04/30/2012 07:23,Franklin-Badger Canyon No 2 115kV line,115.0,L,T,13.35,2584574,Plan,Normally Out,,TRI,157281,2012,,,,,,,,,,
06/01/2007 11:09,04/30/2012 07:23,Hedges tap to Franklin-Badger Canyon No 2 115kV line,115.0,T, ,0.33,2584574,Plan,Normally Out,,TRI,157281,2012,,,,,,,,,,
04/30/2009 13:53,,Riverland-Midway No 1 13.8kV line,13.8,L, ,2.36,still out,Plan,Normally Out,,TRI,166235,2012,,,,,,,,,,
01/07/2010 10:59,04/19/2012 22:57,Ice Harbor-Franklin No 2 115kV line,115.0,L,T,9.07,1200178,Plan,Normally Out,,TRI,169552,2012,,,,,,,,,,
01/07/2010 10:59,04/19/2012 22:57,Martindale tap to Ice Harbor-Franklin No 2 115kV line,115.0,T, ,0.1,1200178,Plan,Normally Out,,TRI,169552,2012,,,,,,,,,,
03/31/2010 10:46,,Canal-Second Lift No 2 34.5kV line,34.5,L,T,1.0,still out,Plan,Normally Out,,IDF,170337,2012,,,,,,,,,,
03/31/2010 10:46,,Jackson tap to Canal-Second Lift No 2 34.5kV line,34.5,T, ,5.5,still out,Plan,Normally Out,,IDF,170337,2012,,,,,,,,,,
06/17/2010 10:00,,Albany-Eugene No 1 115kV line,115.0,L,T,39.8,still out,Plan,Normally Out,,EUG,144215,2012,,,,,,,,,,
